symbol,entry_date,exit_date,entry_price,exit_price,shares,profit,profit_pct,reason
ULKER,2024-03-15,2024-03-21,97.82388305664062,102.72896575927734,60,294.3049621582031,5.014197504096874,Quick Profit
SAHOL,2024-03-20,2024-03-21,72.0708236694336,74.91818237304688,118,335.9883270263672,3.9507786350177265,Quick Profit
BIMAS,2024-03-14,2024-03-22,381.498046875,363.3548278808594,44,-798.3016357421875,-4.755782930675227,Stop Loss
ULKER,2024-03-15,2024-03-22,97.82388305664062,98.28662872314452,61,28.22748565673737,0.4730395605293636,Stop Loss
ULKER,2024-03-22,2024-03-25,98.28662872314452,94.21449279785156,123,-500.87271881103334,-4.143123004822372,Stop Loss
SAHOL,2024-03-20,2024-03-26,72.0708236694336,71.97747039794922,118,-11.01568603515625,-0.12952990784808754,Stop Loss
KCHOL,2024-03-18,2024-03-27,161.1885528564453,175.72496032714844,52,755.8931884765625,9.018262905833806,Stop Loss
YKBNK,2024-03-19,2024-03-27,22.63707733154297,25.320556640625,341,915.0664443969727,11.854354119039987,Stop Loss
GARAN,2024-03-21,2024-03-28,62.66870880126953,65.94280242919922,210,687.5596618652344,5.224447240986336,Quick Profit
TUPRS,2024-03-22,2024-03-28,142.241943359375,146.29417419433594,61,247.1860809326172,2.8488297750003,Quick Profit
SAHOL,2024-03-26,2024-03-28,71.97747039794922,77.3921127319336,119,644.3424377441406,7.522690508638171,Quick Profit
KCHOL,2024-03-27,2024-03-28,175.72496032714844,187.13327026367188,48,547.598876953125,6.492139713837183,Quick Profit
YKBNK,2024-03-27,2024-03-28,25.320556640625,26.355613708496094,129,133.5223617553711,4.08781324424132,Quick Profit
ULKER,2024-03-25,2024-03-29,94.21449279785156,96.62075805664062,64,154.0009765625,2.554028777665865,Quick Profit
KCHOL,2024-03-27,2024-03-29,175.72496032714844,183.2691650390625,49,369.66603088378906,4.293189025548198,Stop Loss
KCHOL,2024-03-29,2024-04-01,183.2691650390625,192.4694366455078,48,441.613037109375,5.020087042184287,Quick Profit
AKBNK,2024-03-29,2024-04-02,45.75919342041016,48.22420120239258,74,182.41057586669876,5.386912656731703,Quick Profit
SAHOL,2024-03-26,2024-04-03,71.97747039794922,76.1318130493164,119,494.3667755126953,5.771726386602151,Stop Loss
KCHOL,2024-03-29,2024-04-03,183.2691650390625,187.7772979736328,49,220.8985137939453,2.4598425674114006,Stop Loss
SAHOL,2024-04-03,2024-04-04,76.1318130493164,80.28614807128906,118,490.21153259277344,5.456766173795933,Quick Profit
KCHOL,2024-04-03,2024-04-05,187.7772979736328,204.79779052734372,48,816.9836425781232,9.064190792702147,Quick Profit
KCHOL,2024-04-03,2024-04-08,187.7772979736328,198.817626953125,48,529.935791015625,5.8794801600790105,Stop Loss
ULKER,2024-03-25,2024-04-15,94.21449279785156,102.72896575927734,64,544.92626953125,9.03732823748741,Stop Loss
SAHOL,2024-04-03,2024-04-15,76.1318130493164,79.49263000488281,118,396.57640075683594,4.414471192731674,Stop Loss
GARAN,2024-03-21,2024-04-16,62.66870880126953,68.0826644897461,211,1142.3446502685547,8.639009470651304,Stop Loss
YKBNK,2024-03-27,2024-04-16,25.320556640625,30.0,130,608.32763671875,18.48080761331752,Stop Loss
AKBNK,2024-03-29,2024-04-16,45.75919342041016,54.63127136230469,75,665.4058456420894,19.388623965424344,Stop Loss
GARAN,2024-04-16,2024-04-17,68.0826644897461,71.16857147216797,94,290.07525634765625,4.532588443107485,Quick Profit
AKBNK,2024-04-16,2024-04-18,54.63127136230469,57.27235412597656,65,171.67037963867188,4.834379097928535,Quick Profit
SAHOL,2024-04-15,2024-04-19,79.49263000488281,82.43334197998047,83,244.07909393310547,3.6993517196714008,Quick Profit
ISCTR,2024-04-17,2024-04-19,12.081425666809082,12.672686576843262,534,315.73332595825195,4.893966377316976,Quick Profit
YKBNK,2024-04-17,2024-04-19,30.57999992370605,32.040000915527344,211,308.0602092742929,4.774365583596617,Quick Profit
GARAN,2024-04-16,2024-04-22,68.0826644897461,73.72407531738281,94,530.2926177978516,8.286119337304095,Stop Loss
AKBNK,2024-04-16,2024-04-22,54.63127136230469,58.54398727416992,66,258.23925018310547,7.16204440112113,Stop Loss
ISCTR,2024-04-17,2024-04-22,12.081425666809082,12.337638854980469,535,137.0740556716919,2.1207198160004666,Stop Loss
YKBNK,2024-04-17,2024-04-22,30.57999992370605,30.57999992370605,211,0.0,0.0,Stop Loss
GARAN,2024-04-22,2024-04-24,73.72407531738281,76.85819244384766,89,278.9364242553711,4.251144708119351,Quick Profit
AKBNK,2024-04-24,2024-04-25,58.98416519165039,56.19635772705078,125,-348.4759330749512,-4.726365890814104,Stop Loss
KCHOL,2024-04-15,2024-04-26,199.09361267089844,207.3243103027344,33,271.61302185058685,4.134084223707016,Quick Profit
EREGL,2024-04-26,2024-04-29,21.19962501525879,21.734569549560547,697,372.8563404083252,2.523367908237634,Quick Profit
TUPRS,2024-03-22,2024-05-07,142.241943359375,174.28201293945312,61,1954.4442443847656,22.52505050435702,Stop Loss
AKSEN,2024-04-25,2024-05-10,37.70713806152344,39.08785629272461,390,538.480110168457,3.6616892773680534,Quick Profit
GARAN,2024-04-22,2024-05-10,73.72407531738281,83.41573333740234,89,862.5575637817383,13.14585225829806,Stop Loss
AKBNK,2024-05-07,2024-05-10,60.25579833984375,56.538719177246094,232,-862.3623657226562,-6.16883231989271,Stop Loss
GARAN,2024-05-10,2024-05-14,83.41573333740234,86.79093170166016,120,405.0238037109375,4.046237117649873,Quick Profit
KCHOL,2024-04-15,2024-05-15,199.09361267089844,229.77647399902344,34,1043.21728515625,15.411273579551615,Stop Loss
EREGL,2024-04-26,2024-05-15,21.19962501525879,22.249698638916016,697,731.9013156890869,4.953265083233398,Stop Loss
GARAN,2024-05-10,2024-05-15,83.41573333740234,84.71759796142578,121,157.52561950683594,1.5606943341942678,Stop Loss
ISCTR,2024-05-07,2024-05-16,13.667975425720217,14.101567268371582,733,317.82282066345033,3.1723194485368857,Quick Profit
AKBNK,2024-05-15,2024-05-16,55.95181274414063,57.8592643737793,126,240.33890533447175,3.409097107114579,Quick Profit
GARAN,2024-05-15,2024-05-17,84.71759796142578,90.79296112060548,83,504.255142211915,7.171311870700083,Quick Profit
YKBNK,2024-05-16,2024-05-17,32.52000045776367,33.900001525878906,317,437.4603385925293,4.24354566017781,Quick Profit
KCHOL,2024-05-16,2024-05-17,228.15228271484372,233.8847503662109,45,257.96104431152344,2.5125620410872314,Quick Profit
AKSEN,2024-04-25,2024-05-21,37.70713806152344,44.24122619628906,390,2548.2943725585938,17.328517810353375,Stop Loss
SAHOL,2024-04-15,2024-05-22,79.49263000488281,100.09506225585938,84,1730.6043090820312,25.91741177730698,Stop Loss
ISCTR,2024-05-07,2024-05-22,13.667975425720217,15.530447006225586,734,1367.0541400909406,13.626535916947832,Stop Loss
YKBNK,2024-05-16,2024-05-23,32.52000045776367,36.02000045776367,317,1109.5,10.762607474577775,Stop Loss
KCHOL,2024-05-16,2024-05-23,228.15228271484372,244.10765075683597,45,717.9915618896521,6.993297569559756,Stop Loss
GARAN,2024-05-15,2024-05-24,84.71759796142578,95.71111297607422,84,923.4552612304688,12.976660433236177,Stop Loss
YKBNK,2024-05-23,2024-05-27,36.02000045776367,34.5,422,-641.4401931762695,-4.219879062872289,Stop Loss
TCELL,2024-05-24,2024-05-27,87.19127655029297,85.10172271728516,238,-497.3138122558594,-2.39651707794705,Stop Loss
AKBNK,2024-05-15,2024-05-29,55.95181274414063,64.55978393554688,127,1093.2123413085928,15.384615384615369,Stop Loss
SAHOL,2024-05-22,2024-05-29,100.09506225585938,96.28604888916016,219,-834.1739273071289,-3.8053958715393543,Stop Loss
GARAN,2024-05-24,2024-05-30,95.71111297607422,98.94166564941406,112,361.8218994140625,3.3753161705970496,Quick Profit
KCHOL,2024-05-23,2024-05-31,244.10765075683597,227.5790252685547,88,-1454.5190429687536,-6.771039513524311,Stop Loss
YKBNK,2024-05-27,2024-05-31,34.5,32.31999969482422,435,-948.3001327514648,-6.318841464277628,Stop Loss
ISCTR,2024-05-22,2024-06-03,15.530447006225586,16.259668350219727,706,514.8302688598633,4.695430490196596,Quick Profit
ISCTR,2024-05-22,2024-06-04,15.530447006225586,15.77680492401123,707,174.17504787445068,1.5862899354209745,Stop Loss
GARAN,2024-05-24,2024-06-04,95.71111297607422,100.5810546875,112,545.4334716796875,5.088167465614118,Stop Loss
AKBNK,2024-05-29,2024-06-05,64.55978393554688,60.98943328857422,330,-1178.2157135009766,-5.530301418816872,Stop Loss
GARAN,2024-06-04,2024-06-07,100.5810546875,96.38615417480467,210,-880.9291076660193,-4.1706666585756755,Stop Loss
AKBNK,2024-06-05,2024-06-07,60.98943328857422,58.00598907470703,243,-724.9769439697266,-4.891739524371195,Stop Loss
ISCTR,2024-06-06,2024-06-07,15.845785140991213,15.284088134765623,1326,-744.8102302551342,-3.544772324171847,Stop Loss
TCELL,2024-06-04,2024-06-11,94.74214935302734,90.80050659179688,223,-878.9863357543945,-4.160389845646371,Stop Loss
