symbol,entry_date,exit_date,entry_price,exit_price,shares,profit,profit_pct,reason
AKSEN,2025-01-27,2025-02-03,41.5,39.13999938964844,493,-1163.4803009033203,-5.686748458678464,Stop Loss
GARAN,2025-01-31,2025-02-03,122.76095581054688,120.1572265625,167,-434.8227844238281,-2.1209750533916734,Exit Signal
MGROS,2025-01-28,2025-02-03,546.8434448242188,566.07421875,13,250.00006103515625,3.5166872909965896,Rotation
SAHOL,2025-02-03,2025-02-04,92.7181167602539,92.5252456665039,260,-50.146484375,-0.20801877830275273,Stop Loss
ASELS,2025-01-28,2025-02-05,89.6500015258789,86.19999694824219,258,-890.1011810302734,-3.8483039809439603,Stop Loss
ULKER,2025-01-30,2025-02-05,112.53911590576172,113.83479309082033,130,168.438034057619,1.1513127454667273,Rotation
TCELL,2025-02-03,2025-02-07,103.4329605102539,103.8247528076172,160,62.68676757812864,0.37878863316927236,Rotation
ASELS,2025-02-05,2025-02-10,86.19999694824219,81.55000305175781,280,-1301.998291015625,-5.394424664859804,Stop Loss
MGROS,2025-02-03,2025-02-11,566.07421875,583.82568359375,26,461.5380859375,3.135890004485388,Rotation
KRDMD,2025-02-07,2025-02-12,28.86000061035156,27.940000534057617,570,-524.4000434875452,-3.1878033847440452,Stop Loss
KOZAL,2025-02-11,2025-02-13,24.5,24.76000022888184,654,170.04014968872252,1.061225424007505,Stop Loss
SAHOL,2025-02-04,2025-02-13,92.5252456665039,97.9735870361328,262,1427.4654388427698,5.888491654771479,Rotation
BIMAS,2025-02-13,2025-02-14,579.5,559.0,30,-615.0,-3.537532355478861,Stop Loss
ULKER,2025-02-05,2025-02-17,113.83479309082033,110.31794738769533,111,-390.369873046875,-3.089429521182658,Stop Loss
MGROS,2025-02-13,2025-02-17,582.8394775390625,565.0880126953125,41,-727.81005859375,-3.045686767598936,Stop Loss
THYAO,2025-02-04,2025-02-17,299.5392150878906,315.3304138183594,25,394.77996826171875,5.271830176170858,Rotation
SAHOL,2025-02-17,2025-02-19,96.09318542480467,95.75568389892578,154,-51.97523498534974,-0.3512231636269336,Stop Loss
ENKAI,2025-02-12,2025-02-19,49.594024658203125,49.73860931396485,321,46.41167449951354,0.2915364436707585,Rotation
BIMAS,2025-02-14,2025-02-20,559.0,535.0,30,-720.0,-4.293381037567084,Stop Loss
MGROS,2025-02-17,2025-02-21,565.0880126953125,546.350341796875,41,-768.2445068359375,-3.315885397933682,Stop Loss
KOZAL,2025-02-19,2025-02-21,24.899999618530277,23.239999771118164,950,-1576.9998550415075,-6.666666155997696,Stop Loss
ULKER,2025-02-19,2025-02-21,108.83716583251952,104.39484405517578,64,-284.3085937499991,-4.081622066656583,Stop Loss
TCELL,2025-02-10,2025-02-24,104.80422973632812,101.57194519042967,210,-678.7797546386755,-3.084116503723564,Stop Loss
ISCTR,2025-02-20,2025-02-24,14.604137420654297,14.101567268371582,1072,-538.7552032470703,-3.4412861082226014,Stop Loss
SAHOL,2025-02-21,2025-02-24,96.81642150878906,93.24848175048828,236,-842.0337829589844,-3.685262998464451,Stop Loss
THYAO,2025-02-21,2025-02-24,305.2142028808594,305.4609375,46,11.34979248046875,0.08083982226637666,Stop Loss
KRDMD,2025-02-17,2025-02-25,27.899999618530277,26.420000076293945,230,-340.3998947143564,-5.304657930007154,Stop Loss
ENKAI,2025-02-21,2025-02-25,47.9842643737793,46.19135665893555,248,-444.64111328125,-3.7364493094604434,Stop Loss
KRDMD,2025-02-25,2025-02-26,26.420000076293945,26.21999931335449,529,-105.80040359497252,-0.7570051565552894,Exit Signal
TCELL,2025-02-24,2025-02-27,101.57194519042967,105.48986053466795,152,595.5231323242188,3.8572810010607492,Rotation
KOZAL,2025-02-25,2025-02-28,23.26000022888184,22.399999618530277,601,-516.8603668212891,-3.697337067450685,Stop Loss
TCELL,2025-02-27,2025-02-28,105.48986053466795,98.63350677490234,58,-397.66851806640534,-6.499538178375307,Stop Loss
ISCTR,2025-02-24,2025-03-03,14.101567268371582,15.63884449005127,998,1534.2026672363281,10.901463592118926,Take Profit
ASELS,2025-02-27,2025-03-03,90.0,98.0500030517578,317,2551.850967407223,8.944447835286445,Take Profit
THYAO,2025-02-24,2025-03-03,305.4609375,310.3956604003906,46,226.99725341796875,1.615500476354894,Rotation
EREGL,2025-02-25,2025-03-05,21.655319213867188,23.51771545410156,538,1001.9691772460919,8.600179114615724,Take Profit
MGROS,2025-02-26,2025-03-05,548.32275390625,587.27734375,9,350.59130859375,7.104317587814402,Rotation
TCELL,2025-02-28,2025-03-07,98.63350677490234,103.8247528076172,188,975.9542541503943,5.2631668511615715,Rotation
YKBNK,2025-03-03,2025-03-11,31.15999984741211,31.559999465942383,1127,450.79957008361816,1.2836958295540368,Rotation
