symbol,entry_date,exit_date,entry_price,exit_price,shares,profit,profit_pct,reason
ISCTR,2025-01-16,2025-01-23,13.825644493103027,14.298653602600098,6763,3198.9606075286865,3.4212445556012425,Stop Loss
GARAN,2025-01-21,2025-01-23,129.02919006347656,128.73988342285156,1466,-424.12353515625,-0.2242179777170376,Stop Loss
AKSEN,2025-01-20,2025-01-24,40.2599983215332,42.58000183105469,1811,4201.526355743408,5.7625524248485185,Partial TP
MGROS,2025-01-03,2025-01-27,522.1886596679688,541.4193725585938,6,115.38427734375,3.682713619796485,Stop Loss
THYAO,2025-01-17,2025-01-27,299.5392150878906,302.5000915527344,809,2395.3490600585938,0.9884770726847807,Stop Loss
AKSEN,2025-01-20,2025-01-27,40.2599983215332,41.5,3622,4491.286079406738,3.0799844266351535,Stop Loss
MGROS,2025-01-27,2025-01-29,541.4193725585938,571.9913330078125,285,8713.008728027344,5.646632166991804,Partial TP
TCELL,2025-01-23,2025-01-29,104.02064514160156,105.78370666503906,374,659.385009765625,1.6949150056101592,Stop Loss
MGROS,2025-01-27,2025-01-30,541.4193725585938,570.0189819335938,285,8150.888671875,5.2823394995724655,Partial TP
YKBNK,2025-01-28,2025-01-30,32.84000015258789,31.979999542236328,926,-796.3605651855469,-2.618759459061062,Stop Loss
GARAN,2025-01-23,2025-01-31,128.73988342285156,122.76095581054688,3194,-19096.694793701172,-4.64419219074997,Stop Loss
ISCTR,2025-01-23,2025-01-31,14.298653602600098,13.95375156402588,27205,-9383.059959411563,-2.412129478481099,Stop Loss
YKBNK,2025-01-30,2025-01-31,31.979999542236328,30.71999931335449,11962,-15072.12273788458,-3.9399632486477834,Stop Loss
AKSEN,2025-01-27,2025-02-03,41.5,39.13999938964844,7328,-17294.08447265625,-5.686748458678464,Stop Loss
TCELL,2025-01-29,2025-02-03,105.78370666503906,103.4329605102539,3475,-8168.842887878418,-2.2222194975911775,Stop Loss
GARAN,2025-01-31,2025-02-03,122.76095581054688,120.1572265625,8065,-20999.076385498047,-2.1209750533916734,Stop Loss
ASELS,2025-01-02,2025-02-06,73.5,85.94999694824219,2,24.899993896484375,16.938771358152636,Stop Loss
MGROS,2025-01-27,2025-02-07,541.4193725585938,585.304931640625,285,12507.384338378906,8.105649946480598,Partial TP
ASELS,2025-02-06,2025-02-10,85.94999694824219,81.55000305175781,17381,-76476.29391479492,-5.119248461560721,Stop Loss
KRDMD,2025-02-07,2025-02-11,28.86000061035156,28.100000381469727,58860,-44733.61347198463,-2.6334033707859095,Stop Loss
KOZAL,2025-02-11,2025-02-12,24.5,25.5,21612,21612.0,4.081632653061225,Partial TP
TCELL,2025-02-03,2025-02-12,103.4329605102539,105.68576049804688,11729,26423.09105682373,2.1780291085931314,Stop Loss
BIMAS,2025-02-12,2025-02-13,557.5,579.5,1086,23892.0,3.9461883408071747,Partial TP
KOZAL,2025-02-11,2025-02-13,24.5,24.76000022888184,64838,16857.89484024071,1.0612254240075083,Stop Loss
BIMAS,2025-02-12,2025-02-14,557.5,559.0,3261,4891.5,0.26905829596412556,Stop Loss
MGROS,2025-01-27,2025-02-17,541.4193725585938,565.0880126953125,285,6745.562438964844,4.371590921260815,Stop Loss
TCELL,2025-02-12,2025-02-17,105.68576049804688,101.86579132080078,23365,-89253.57982635498,-3.614459657804789,Stop Loss
EREGL,2025-02-12,2025-02-19,23.18089866638184,22.586515426635746,104345,-62020.91915130615,-2.564107838528709,Stop Loss
BIMAS,2025-02-14,2025-02-20,559.0,535.0,7615,-182760.0,-4.293381037567084,Stop Loss
MGROS,2025-02-17,2025-02-21,565.0880126953125,546.350341796875,9366,-175497.02563476562,-3.315885397933682,Stop Loss
ISCTR,2025-02-20,2025-02-21,14.604137420654297,14.249382019042969,540014,-191572.88344573975,-2.429143135215954,Stop Loss
KOZAL,2025-02-20,2025-02-21,24.8799991607666,23.239999771118164,102592,-168250.8173828125,-6.591637640545265,Stop Loss
ASELS,2025-02-27,2025-02-28,90.0,93.4499969482422,26910,92839.41787719773,3.8333299424913383,Partial TP
TCELL,2025-02-19,2025-02-28,102.74732208251952,98.63350677490234,63957,-263107.28562927153,-4.003817544084742,Stop Loss
ASELS,2025-02-27,2025-03-03,90.0,98.0500030517578,26910,216625.58212280227,8.944447835286438,Partial TP
ASELS,2025-02-27,2025-03-04,90.0,101.6999969482422,26910,314846.91787719773,12.999996609158003,Partial TP
ASELS,2025-02-27,2025-03-05,90.0,105.4000015258789,26910,414414.04106140137,17.11111280653212,Partial TP
KRDMD,2025-03-05,2025-03-06,30.65999984741211,31.780000686645508,21759,24370.098260879517,3.6529707919353864,Partial TP
GARAN,2025-03-03,2025-03-07,132.59725952148438,136.84036254882812,21070,89402.18078613281,3.1999930033668993,Partial TP
KRDMD,2025-03-05,2025-03-07,30.65999984741211,31.6200008392334,65278,62666.94474411011,3.1311187103685487,Stop Loss
GARAN,2025-03-03,2025-03-10,132.59725952148438,135.1045684814453,63211,158489.50666809082,1.890920648744392,Stop Loss
KCHOL,2025-03-06,2025-03-10,161.7511749267578,163.0887451171875,9345,12499.59342956543,0.8269307416377961,Stop Loss
YKBNK,2025-03-03,2025-03-11,31.15999984741211,31.559999465942383,361198,144479.0622138977,1.2836958295540368,Stop Loss
ISCTR,2025-03-07,2025-03-11,16.003454208374023,15.520591735839844,556550,-268737.1090888977,-3.0172390675602734,Stop Loss
