datetime,open,high,low,close,volume,symbol
2025-04-10 17:30:00+03:00,307.75,309.0,306.5,306.75,2386462,THYAO
2025-04-11 09:30:00+03:00,306.75,308.5,306.0,307.75,0,THYAO
2025-04-11 10:30:00+03:00,307.75,308.5,306.5,307.75,4236393,THYAO
2025-04-11 11:30:00+03:00,307.75,309.25,307.0,308.75,3181604,THYAO
2025-04-11 12:30:00+03:00,308.75,309.0,308.25,308.75,819710,THYAO
2025-04-11 13:30:00+03:00,308.75,310.0,308.0,308.25,3082651,THYAO
2025-04-11 14:30:00+03:00,308.25,309.5,308.0,309.0,1662117,THYAO
2025-04-11 15:30:00+03:00,309.0,309.25,307.5,307.75,2380364,THYAO
2025-04-11 16:30:00+03:00,308.0,309.5,307.25,307.5,3609803,THYAO
2025-04-11 17:30:00+03:00,307.5,309.0,307.0,308.75,1950430,THYAO
2025-04-14 09:30:00+03:00,312.75,313.75,311.75,312.5,0,THYAO
2025-04-14 10:30:00+03:00,312.75,314.0,312.5,313.0,3315296,THYAO
2025-04-14 11:30:00+03:00,312.75,313.25,312.5,312.5,1659831,THYAO
2025-04-14 12:30:00+03:00,312.5,313.25,312.5,312.75,1086484,THYAO
2025-04-14 13:30:00+03:00,312.75,314.5,312.75,314.25,3054153,THYAO
2025-04-14 14:30:00+03:00,314.25,314.75,313.5,314.5,2561244,THYAO
2025-04-14 15:30:00+03:00,314.5,315.0,314.0,314.75,2108585,THYAO
2025-04-14 16:30:00+03:00,314.75,315.0,313.5,314.25,2204519,THYAO
2025-04-14 17:30:00+03:00,314.25,314.75,313.5,313.75,1746781,THYAO
2025-04-15 09:30:00+03:00,313.5,314.5,312.25,314.5,0,THYAO
2025-04-15 10:30:00+03:00,314.5,317.75,314.25,317.25,6925598,THYAO
2025-04-15 11:30:00+03:00,317.25,318.0,317.0,317.25,1777256,THYAO
2025-04-15 12:30:00+03:00,317.5,319.0,317.25,318.5,2649111,THYAO
2025-04-15 13:30:00+03:00,318.75,319.75,318.5,319.0,2462354,THYAO
2025-04-15 14:30:00+03:00,319.25,319.5,318.5,319.25,2618705,THYAO
2025-04-15 15:30:00+03:00,319.25,320.5,318.75,320.25,4254871,THYAO
2025-04-15 16:30:00+03:00,320.25,320.25,318.25,319.75,5369683,THYAO
2025-04-15 17:30:00+03:00,319.5,320.0,318.75,320.0,4533056,THYAO
2025-04-16 09:30:00+03:00,320.0,322.5,318.75,319.5,0,THYAO
2025-04-16 10:30:00+03:00,319.25,320.5,318.0,320.0,4094774,THYAO
2025-04-16 11:30:00+03:00,319.75,320.25,319.0,319.5,1516736,THYAO
2025-04-16 12:30:00+03:00,319.5,319.75,318.75,319.75,999582,THYAO
2025-04-16 13:30:00+03:00,319.5,321.25,318.75,319.25,2789354,THYAO
2025-04-16 14:30:00+03:00,319.25,320.25,319.25,319.75,1283505,THYAO
2025-04-16 15:30:00+03:00,319.5,320.25,319.0,319.75,1871860,THYAO
2025-04-16 16:30:00+03:00,319.5,320.5,319.25,320.25,2490361,THYAO
2025-04-16 17:30:00+03:00,320.0,320.75,319.0,320.25,4134958,THYAO
2025-04-17 09:30:00+03:00,320.5,324.0,320.0,323.25,0,THYAO
2025-04-17 10:30:00+03:00,323.25,325.25,323.0,323.5,3688078,THYAO
2025-04-17 11:30:00+03:00,323.25,323.5,322.25,322.75,1210052,THYAO
2025-04-17 12:30:00+03:00,323.0,324.0,322.75,323.0,1323464,THYAO
2025-04-17 13:30:00+03:00,322.75,323.25,320.0,323.0,4932610,THYAO
2025-04-17 14:30:00+03:00,322.75,323.0,321.0,322.25,2542499,THYAO
2025-04-17 15:30:00+03:00,322.5,325.0,322.0,323.75,4328016,THYAO
2025-04-17 16:30:00+03:00,323.75,324.0,322.25,323.0,2122076,THYAO
2025-04-17 17:30:00+03:00,323.25,324.0,322.25,323.25,1846737,THYAO
2025-04-18 09:30:00+03:00,323.5,323.75,319.5,319.75,0,THYAO
2025-04-18 10:30:00+03:00,319.75,320.0,318.5,319.0,1989733,THYAO
2025-04-18 11:30:00+03:00,319.0,319.75,317.0,317.5,2368181,THYAO
2025-04-18 12:30:00+03:00,317.5,319.25,317.25,318.5,1390205,THYAO
2025-04-18 13:30:00+03:00,318.25,318.75,317.5,318.0,984245,THYAO
2025-04-18 14:30:00+03:00,318.25,318.75,317.5,318.25,924069,THYAO
2025-04-18 15:30:00+03:00,318.0,318.75,317.25,318.0,1336567,THYAO
2025-04-18 16:30:00+03:00,317.75,320.25,317.5,319.75,3037297,THYAO
2025-04-18 17:30:00+03:00,320.0,320.0,318.0,318.5,1671272,THYAO
2025-04-21 09:30:00+03:00,319.0,320.0,316.75,316.75,0,THYAO
2025-04-21 10:30:00+03:00,316.75,317.25,315.0,316.5,2255519,THYAO
2025-04-21 11:30:00+03:00,316.5,316.75,315.25,315.75,965611,THYAO
2025-04-21 12:30:00+03:00,315.75,317.25,315.5,317.0,973126,THYAO
2025-04-21 13:30:00+03:00,317.0,317.25,315.75,316.5,774747,THYAO
2025-04-21 14:30:00+03:00,316.5,318.25,315.75,317.25,1702887,THYAO
2025-04-21 15:30:00+03:00,317.25,319.5,317.0,318.0,4346338,THYAO
2025-04-21 16:30:00+03:00,318.0,318.5,315.0,315.25,2019600,THYAO
2025-04-21 17:30:00+03:00,315.0,316.0,314.0,315.5,2415583,THYAO
2025-04-22 09:30:00+03:00,316.5,320.75,316.5,320.5,0,THYAO
2025-04-22 10:30:00+03:00,320.25,321.25,319.25,319.25,3270081,THYAO
2025-04-22 11:30:00+03:00,319.5,320.0,319.0,319.0,963360,THYAO
2025-04-22 12:30:00+03:00,319.0,320.0,318.75,319.25,1109201,THYAO
2025-04-22 13:30:00+03:00,319.25,320.25,319.25,319.5,1006838,THYAO
2025-04-22 14:30:00+03:00,319.5,320.0,318.75,319.5,1306270,THYAO
2025-04-22 15:30:00+03:00,319.75,320.0,319.25,319.5,623702,THYAO
2025-04-22 16:30:00+03:00,319.75,321.25,319.25,319.5,5011732,THYAO
2025-04-22 17:30:00+03:00,319.5,320.25,319.25,319.75,2325298,THYAO
2025-04-24 09:30:00+03:00,322.25,323.5,320.25,320.75,0,THYAO
2025-04-24 10:30:00+03:00,320.75,321.5,319.75,320.0,1614992,THYAO
2025-04-24 11:30:00+03:00,320.0,320.5,319.0,319.75,1023528,THYAO
2025-04-24 12:30:00+03:00,319.5,319.75,318.0,318.25,746785,THYAO
2025-04-24 13:30:00+03:00,318.25,320.75,318.0,319.75,1704441,THYAO
2025-04-24 14:30:00+03:00,319.5,320.75,319.25,319.75,1448157,THYAO
2025-04-24 15:30:00+03:00,319.5,321.75,319.5,321.0,2187843,THYAO
2025-04-24 16:30:00+03:00,321.0,321.75,320.25,321.0,1660136,THYAO
2025-04-24 17:30:00+03:00,321.0,321.75,320.75,321.25,927415,THYAO
2025-04-25 09:30:00+03:00,322.0,323.5,321.25,321.5,0,THYAO
2025-04-25 10:30:00+03:00,321.25,322.5,320.0,320.0,2712243,THYAO
2025-04-25 11:30:00+03:00,320.25,320.75,319.5,319.75,1042419,THYAO
2025-04-25 12:30:00+03:00,319.75,320.0,319.25,319.5,591322,THYAO
2025-04-25 13:30:00+03:00,319.5,320.25,319.0,319.75,919147,THYAO
2025-04-25 14:30:00+03:00,320.0,320.0,318.0,318.0,1530473,THYAO
2025-04-25 15:30:00+03:00,318.0,319.25,318.0,318.75,1256757,THYAO
